,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
158,399389,国证通信,3256.7861328125,100.0,2.0,,指数板块,指数,0,0,GZTX
159,399390,1000公用,2300.191650390625,100.0,2.0,,指数板块,指数,0,0,1GY
160,399391,投资时钟,3416.645263671875,100.0,2.0,,指数板块,指数,0,0,TZSZ
161,399392,国证新兴,2640.84765625,100.0,2.0,,指数板块,指数,0,0,GZXX
162,399393,国证地产,4174.96337890625,100.0,2.0,,指数板块,指数,0,0,GZDC
163,399394,国证医药,11585.740234375,100.0,2.0,,指数板块,指数,0,0,GZYY
164,399395,国证有色,5983.13916015625,100.0,2.0,,指数板块,指数,0,0,GZYS
165,399396,国证食品,27663.77734375,100.0,2.0,,指数板块,指数,0,0,GZSP
166,399397,国证文化,2057.45849609375,100.0,2.0,,指数板块,指数,0,0,GZWH
167,399398,绩效指数,11604.4423828125,100.0,2.0,,指数板块,指数,0,0,JXZS
168,399399,中经GDP,7026.10791015625,100.0,2.0,,指数板块,指数,0,0,ZJG
169,399400,大中盘,3694.07470703125,100.0,2.0,,指数板块,指数,0,0,DZP
170,399401,中小盘,4197.73681640625,100.0,2.0,,指数板块,指数,0,0,ZXP
171,399402,周期100,3203.255126953125,100.0,2.0,,指数板块,指数,0,0,ZQ1
172,399403,防御100,9326.7900390625,100.0,2.0,,指数板块,指数,0,0,FY1
173,399404,大盘低波,4736.57470703125,100.0,2.0,,指数板块,指数,0,0,DPDB
174,399405,大盘高贝,2488.7626953125,100.0,2.0,,指数板块,指数,0,0,DPGB
175,399406,中盘低波,11244.9990234375,100.0,2.0,,指数板块,指数,0,0,ZPDB
176,399407,中盘高贝,2738.70361328125,100.0,2.0,,指数板块,指数,0,0,ZPGB
177,399408,小盘低波,13077.126953125,100.0,2.0,,指数板块,指数,0,0,XPDB
178,399409,小盘高贝,4840.5283203125,100.0,2.0,,指数板块,指数,0,0,XPGB
179,399410,苏州率先,2190.953125,100.0,2.0,,指数板块,指数,0,0,SZSX
180,399411,红利100,3184.662841796875,100.0,2.0,,指数板块,指数,0,0,HL1
181,399412,国证新能,3417.022216796875,100.0,2.0,,指数板块,指数,0,0,GZXN
182,399413,国证转债,151.5308074951172,100.0,2.0,,指数板块,指数,0,0,GZZZ
183,399415,I100,7163.42626953125,100.0,2.0,,指数板块,指数,0,0,I
184,399416,I300,3543.990966796875,100.0,2.0,,指数板块,指数,0,0,I
185,399417,新能源车,3764.119384765625,100.0,2.0,,指数板块,指数,0,0,XNYC
186,399418,国证国安,3812.40869140625,100.0,2.0,,指数板块,指数,0,0,GZGA
187,399419,国证高铁,1783.2220458984375,100.0,2.0,,指数板块,指数,0,0,GZGT
188,399420,国证保证,1162.7685546875,100.0,2.0,,指数板块,指数,0,0,GZBZ
189,399422,中关村A,3115.987548828125,100.0,2.0,,指数板块,指数,0,0,ZGCA
190,399423,中关村50,2616.517333984375,100.0,2.0,,指数板块,指数,0,0,ZGC5
191,399427,专利领先,2809.61572265625,100.0,2.0,,指数板块,指数,0,0,ZLLX
192,399428,国证定增,3550.054443359375,100.0,2.0,,指数板块,指数,0,0,GZDZ
193,399429,新丝路,1513.28515625,100.0,2.0,,指数板块,指数,0,0,XSL
194,399431,国证银行,5930.88232421875,100.0,2.0,,指数板块,指数,0,0,GZYH
195,399432,智能汽车,6301.2197265625,100.0,2.0,,指数板块,指数,0,0,ZNQC
196,399433,国证交运,1819.75244140625,100.0,2.0,,指数板块,指数,0,0,GZJY
197,399434,国证传媒,1686.604248046875,100.0,2.0,,指数板块,指数,0,0,GZCM
198,399435,国证农牧,5057.70361328125,100.0,2.0,,指数板块,指数,0,0,GZNM
199,399436,绿色煤炭,4173.22314453125,100.0,2.0,,指数板块,指数,0,0,LSMT
200,399437,证券龙头,5416.23193359375,100.0,2.0,,指数板块,指数,0,0,ZQLT
201,399438,绿色电力,1928.132568359375,100.0,2.0,,指数板块,指数,0,0,LSDL
202,399439,国证油气,1599.72119140625,100.0,2.0,,指数板块,指数,0,0,GZYQ
203,399440,国证钢铁,1311.646484375,100.0,2.0,,指数板块,指数,0,0,GZGT
204,399441,生物医药,3621.83349609375,100.0,2.0,,指数板块,指数,0,0,SWYY
205,399481,企债指数,126.33219909667969,100.0,2.0,,指数板块,指数,0,0,QZZS
206,399550,央视50,7096.74267578125,100.0,2.0,,指数板块,指数,0,0,YS5
207,399551,央视创新,8045.2158203125,100.0,2.0,,指数板块,指数,0,0,YSCX
208,399552,央视成长,8100.8486328125,100.0,2.0,,指数板块,指数,0,0,YSCZ
209,399553,央视回报,8014.96484375,100.0,2.0,,指数板块,指数,0,0,YSHB
210,399554,央视治理,6922.85205078125,100.0,2.0,,指数板块,指数,0,0,YSZL
211,399555,央视责任,4783.7900390625,100.0,2.0,,指数板块,指数,0,0,YSZR
212,399556,央视生态,2875.678466796875,100.0,2.0,,指数板块,指数,0,0,YSST
213,399557,央视文化,1736.9322509765625,100.0,2.0,,指数板块,指数,0,0,YSWH
214,399602,中小成长,1214.8975830078125,100.0,2.0,,指数板块,指数,0,0,ZXCZ
215,399604,中小价值,1941.414794921875,100.0,2.0,,指数板块,指数,0,0,ZXJZ
216,399606,创业板R,2723.226318359375,100.0,2.0,,指数板块,指数,0,0,CYBR
217,399608,科技100,3412.218505859375,100.0,2.0,,指数板块,指数,0,0,KJ1
218,399610,TMT50,5783.75439453125,100.0,2.0,,指数板块,指数,0,0,T
219,399611,中创100R,2766.0224609375,100.0,2.0,,指数板块,指数,0,0,ZC1
220,399612,中创100,2452.047607421875,100.0,2.0,,指数板块,指数,0,0,ZC1
221,399613,深证能源,3651.90087890625,100.0,2.0,,指数板块,指数,0,0,SZNY
222,399614,深证材料,3548.8505859375,100.0,2.0,,指数板块,指数,0,0,SZCL
223,399615,深证工业,3907.3935546875,100.0,2.0,,指数板块,指数,0,0,SZGY
224,399616,深证可选,5514.943359375,100.0,2.0,,指数板块,指数,0,0,SZKX
225,399617,深证消费,14365.5546875,100.0,2.0,,指数板块,指数,0,0,SZXF
226,399618,深证医药,12187.1884765625,100.0,2.0,,指数板块,指数,0,0,SZYY
227,399619,深证金融,6117.27197265625,100.0,2.0,,指数板块,指数,0,0,SZJR
228,399620,深证信息,4066.406005859375,100.0,2.0,,指数板块,指数,0,0,SZXX
229,399621,深证电信,2511.90771484375,100.0,2.0,,指数板块,指数,0,0,SZDX
230,399622,深证公用,1699.1492919921875,100.0,2.0,,指数板块,指数,0,0,SZGY
231,399623,中小基础,8308.2421875,100.0,2.0,,指数板块,指数,0,0,ZXJC
232,399624,中创400,2107.528076171875,100.0,2.0,,指数板块,指数,0,0,ZC4
233,399625,中创500,2089.490966796875,100.0,2.0,,指数板块,指数,0,0,ZC5
234,399626,中创成长,1748.2587890625,100.0,2.0,,指数板块,指数,0,0,ZCCZ
235,399627,中创价值,2104.642333984375,100.0,2.0,,指数板块,指数,0,0,ZCJZ
236,399628,700成长,2003.5550537109375,100.0,2.0,,指数板块,指数,0,0,7CZ
237,399629,700价值,2498.3818359375,100.0,2.0,,指数板块,指数,0,0,7JZ
238,399630,1000成长,1569.022705078125,100.0,2.0,,指数板块,指数,0,0,1CZ
239,399631,1000价值,1982.1793212890625,100.0,2.0,,指数板块,指数,0,0,1JZ
240,399632,深100EW,5153.75732421875,100.0,2.0,,指数板块,指数,0,0,S1
241,399633,深300EW,5453.822265625,100.0,2.0,,指数板块,指数,0,0,S3
242,399634,中小等权,3811.221923828125,100.0,2.0,,指数板块,指数,0,0,ZXDQ
243,399635,创业板EW,1915.6378173828125,100.0,2.0,,指数板块,指数,0,0,CYBE
244,399636,深证装备,4832.5185546875,100.0,2.0,,指数板块,指数,0,0,SZZB
245,399637,深证地产,2436.169921875,100.0,2.0,,指数板块,指数,0,0,SZDC
246,399638,深证环保,6927.7939453125,100.0,2.0,,指数板块,指数,0,0,SZHB
247,399639,深证大宗,2252.5,100.0,2.0,,指数板块,指数,0,0,SZDZ
248,399640,创业基础,2302.57763671875,100.0,2.0,,指数板块,指数,0,0,CYJC
249,399641,深证新兴,2316.822265625,100.0,2.0,,指数板块,指数,0,0,SZXX
250,399642,中小新兴,2075.935546875,100.0,2.0,,指数板块,指数,0,0,ZXXX
251,399643,创业新兴,3005.682373046875,100.0,2.0,,指数板块,指数,0,0,CYXX
252,399644,深证时钟,4105.2197265625,100.0,2.0,,指数板块,指数,0,0,SZSZ
253,399645,100低波,9134.4052734375,100.0,2.0,,指数板块,指数,0,0,1DB
254,399646,深消费50,8913.365234375,100.0,2.0,,指数板块,指数,0,0,SXF5
255,399647,深医药50,11958.2158203125,100.0,2.0,,指数板块,指数,0,0,SYY5
256,399648,深证GDP,10246.8525390625,100.0,2.0,,指数板块,指数,0,0,SZG
257,399649,中小红利,3267.10791015625,100.0,2.0,,指数板块,指数,0,0,ZXHL
258,399650,中小治理,2441.597900390625,100.0,2.0,,指数板块,指数,0,0,ZXZL
259,399651,中小责任,1872.5228271484375,100.0,2.0,,指数板块,指数,0,0,ZXZR
260,399652,中创高新,3344.118408203125,100.0,2.0,,指数板块,指数,0,0,ZCGX
261,399653,深证龙头,2716.656982421875,100.0,2.0,,指数板块,指数,0,0,SZLT
262,399654,深证文化,2186.536865234375,100.0,2.0,,指数板块,指数,0,0,SZWH
263,399655,深证绩效,11378.279296875,100.0,2.0,,指数板块,指数,0,0,SZJX
