code,tradeStatus,code_name,code2,market2,market,type,kind,type2
601886,1,江河集团,sh.601886,sh,1,证券,A股股票,1
601888,1,中国中免,sh.601888,sh,1,证券,A股股票,1
601890,1,亚星锚链,sh.601890,sh,1,证券,A股股票,1
601898,1,中煤能源,sh.601898,sh,1,证券,A股股票,1
601899,1,紫金矿业,sh.601899,sh,1,证券,A股股票,1
601900,1,南方传媒,sh.601900,sh,1,证券,A股股票,1
601901,1,方正证券,sh.601901,sh,1,证券,A股股票,1
601908,1,京运通,sh.601908,sh,1,证券,A股股票,1
601916,1,浙商银行,sh.601916,sh,1,证券,A股股票,1
601918,1,新集能源,sh.601918,sh,1,证券,A股股票,1
601919,1,中远海控,sh.601919,sh,1,证券,A股股票,1
601921,1,浙版传媒,sh.601921,sh,1,证券,A股股票,1
601928,1,凤凰传媒,sh.601928,sh,1,证券,A股股票,1
601929,1,吉视传媒,sh.601929,sh,1,证券,A股股票,1
601933,1,永辉超市,sh.601933,sh,1,证券,A股股票,1
601939,1,建设银行,sh.601939,sh,1,证券,A股股票,1
601949,1,中国出版,sh.601949,sh,1,证券,A股股票,1
601952,1,苏垦农发,sh.601952,sh,1,证券,A股股票,1
601956,1,东贝集团,sh.601956,sh,1,证券,A股股票,1
601958,1,金钼股份,sh.601958,sh,1,证券,A股股票,1
601963,1,重庆银行,sh.601963,sh,1,证券,A股股票,1
601965,1,中国汽研,sh.601965,sh,1,证券,A股股票,1
601966,1,玲珑轮胎,sh.601966,sh,1,证券,A股股票,1
601968,1,宝钢包装,sh.601968,sh,1,证券,A股股票,1
601969,1,海南矿业,sh.601969,sh,1,证券,A股股票,1
601975,1,招商南油,sh.601975,sh,1,证券,A股股票,1
601985,1,中国核电,sh.601985,sh,1,证券,A股股票,1
601988,1,中国银行,sh.601988,sh,1,证券,A股股票,1
601989,1,中国重工,sh.601989,sh,1,证券,A股股票,1
601990,1,南京证券,sh.601990,sh,1,证券,A股股票,1
601991,1,大唐发电,sh.601991,sh,1,证券,A股股票,1
601992,1,金隅集团,sh.601992,sh,1,证券,A股股票,1
601995,1,中金公司,sh.601995,sh,1,证券,A股股票,1
601996,1,丰林集团,sh.601996,sh,1,证券,A股股票,1
601997,1,贵阳银行,sh.601997,sh,1,证券,A股股票,1
601998,1,中信银行,sh.601998,sh,1,证券,A股股票,1
601999,1,出版传媒,sh.601999,sh,1,证券,A股股票,1
603000,1,人民网,sh.603000,sh,1,证券,A股股票,1
603001,1,奥康国际,sh.603001,sh,1,证券,A股股票,1
603002,1,宏昌电子,sh.603002,sh,1,证券,A股股票,1
603003,1,龙宇燃油,sh.603003,sh,1,证券,A股股票,1
603005,1,晶方科技,sh.603005,sh,1,证券,A股股票,1
603006,1,联明股份,sh.603006,sh,1,证券,A股股票,1
603007,1,ST花王,sh.603007,sh,1,证券,A股股票,1
603008,1,喜临门,sh.603008,sh,1,证券,A股股票,1
603009,1,北特科技,sh.603009,sh,1,证券,A股股票,1
603010,1,万盛股份,sh.603010,sh,1,证券,A股股票,1
603011,1,合锻智能,sh.603011,sh,1,证券,A股股票,1
603012,1,创力集团,sh.603012,sh,1,证券,A股股票,1
603013,1,亚普股份,sh.603013,sh,1,证券,A股股票,1
603015,1,弘讯科技,sh.603015,sh,1,证券,A股股票,1
603016,1,新宏泰,sh.603016,sh,1,证券,A股股票,1
603017,1,中衡设计,sh.603017,sh,1,证券,A股股票,1
603018,1,华设集团,sh.603018,sh,1,证券,A股股票,1
603019,1,中科曙光,sh.603019,sh,1,证券,A股股票,1
603020,1,爱普股份,sh.603020,sh,1,证券,A股股票,1
603021,1,山东华鹏,sh.603021,sh,1,证券,A股股票,1
603022,1,新通联,sh.603022,sh,1,证券,A股股票,1
603023,1,威帝股份,sh.603023,sh,1,证券,A股股票,1
603025,1,大豪科技,sh.603025,sh,1,证券,A股股票,1
603026,1,石大胜华,sh.603026,sh,1,证券,A股股票,1
603027,1,千禾味业,sh.603027,sh,1,证券,A股股票,1
603028,1,赛福天,sh.603028,sh,1,证券,A股股票,1
603029,1,天鹅股份,sh.603029,sh,1,证券,A股股票,1
603030,1,全筑股份,sh.603030,sh,1,证券,A股股票,1
603031,1,安孚科技,sh.603031,sh,1,证券,A股股票,1
603032,1,德新交运,sh.603032,sh,1,证券,A股股票,1
603033,1,三维股份,sh.603033,sh,1,证券,A股股票,1
603035,1,常熟汽饰,sh.603035,sh,1,证券,A股股票,1
603036,1,如通股份,sh.603036,sh,1,证券,A股股票,1
603037,1,凯众股份,sh.603037,sh,1,证券,A股股票,1
603038,1,华立股份,sh.603038,sh,1,证券,A股股票,1
603039,1,ST泛微,sh.603039,sh,1,证券,A股股票,1
603040,1,新坐标,sh.603040,sh,1,证券,A股股票,1
603041,1,美思德,sh.603041,sh,1,证券,A股股票,1
603042,1,华脉科技,sh.603042,sh,1,证券,A股股票,1
603043,1,广州酒家,sh.603043,sh,1,证券,A股股票,1
603045,1,福达合金,sh.603045,sh,1,证券,A股股票,1
603048,1,浙江黎明,sh.603048,sh,1,证券,A股股票,1
603050,1,科林电气,sh.603050,sh,1,证券,A股股票,1
603051,1,鹿山新材,sh.603051,sh,1,证券,A股股票,1
603052,1,,sh.603052,sh,1,证券,A股股票,1
603053,1,成都燃气,sh.603053,sh,1,证券,A股股票,1
603055,1,台华新材,sh.603055,sh,1,证券,A股股票,1
